,k,average cover size,S
36,37,1399.081,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800]"
37,38,1397.351,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179]"
38,39,1400.188,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105]"
39,40,1402.092,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545]"
40,41,1408.898,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545, 2080]"
41,42,1412.792,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545, 2080, 3156]"
42,43,1414.204,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545, 2080, 3156, 7382]"
43,44,1417.162,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545, 2080, 3156, 7382, 424]"
44,45,1419.913,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545, 2080, 3156, 7382, 424, 1140]"
45,46,1421.46,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545, 2080, 3156, 7382, 424, 1140, 1188]"
46,47,1422.595,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545, 2080, 3156, 7382, 424, 1140, 1188, 5689]"
47,48,1424.157,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545, 2080, 3156, 7382, 424, 1140, 1188, 5689, 4837]"
48,49,1428.761,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545, 2080, 3156, 7382, 424, 1140, 1188, 5689, 4837, 6403]"
49,50,1431.514,"[1143, 10677, 7155, 5848, 7324, 636, 6577, 6486, 1273, 7369, 3123, 6990, 6867, 6639, 4531, 2258, 3836, 6162, 1338, 7031, 6467, 6376, 6845, 906, 516, 7585, 6705, 5598, 1642, 4879, 7795, 3114, 5918, 6572, 6436, 2407, 6800, 1179, 7105, 1545, 2080, 3156, 7382, 424, 1140, 1188, 5689, 4837, 6403, 617]"
