,k,average cover size,S
0,1,429.364,[723]
1,2,463.795,"[723, 104]"
2,3,465.461,"[723, 104, 326]"
3,4,465.784,"[723, 104, 326, 71]"
4,5,464.764,"[723, 104, 326, 71, 23]"
5,6,466.403,"[723, 104, 326, 71, 23, 563]"
6,7,466.797,"[723, 104, 326, 71, 23, 563, 232]"
7,8,467.28,"[723, 104, 326, 71, 23, 563, 232, 40]"
8,9,466.684,"[723, 104, 326, 71, 23, 563, 232, 40, 340]"
9,10,467.992,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255]"
10,11,469.221,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587]"
11,12,468.876,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22]"
12,13,467.224,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298]"
13,14,468.885,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380]"
14,15,470.077,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634]"
15,16,470.074,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30]"
16,17,470.711,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426]"
17,18,472.918,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633]"
18,19,475.878,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545]"
19,20,476.822,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51]"
20,21,476.219,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542]"
21,22,477.842,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774]"
22,23,478.654,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236]"
23,24,478.31,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106]"
24,25,478.651,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312]"
25,26,479.87,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178]"
26,27,481.704,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488]"
27,28,481.619,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152]"
28,29,482.447,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307]"
29,30,483.076,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414]"
30,31,484.377,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612]"
31,32,487.328,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846]"
32,33,486.674,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10]"
33,34,488.528,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10, 837]"
34,35,487.545,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10, 837, 6]"
35,36,488.666,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10, 837, 6, 614]"
36,37,490.223,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10, 837, 6, 614, 597]"
37,38,490.144,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10, 837, 6, 614, 597, 184]"
38,39,490.779,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10, 837, 6, 614, 597, 184, 565]"
39,40,491.739,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10, 837, 6, 614, 597, 184, 565, 223]"
40,41,494.248,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10, 837, 6, 614, 597, 184, 565, 223, 311]"
41,42,498.941,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10, 837, 6, 614, 597, 184, 565, 223, 311, 1066]"
42,43,499.258,"[723, 104, 326, 71, 23, 563, 232, 40, 340, 255, 587, 22, 298, 380, 634, 30, 426, 633, 545, 51, 542, 774, 236, 106, 312, 178, 488, 152, 307, 414, 612, 846, 10, 837, 6, 614, 597, 184, 565, 223, 311, 1066, 391]"
