,k,average cover size,S
38,39,3296.734,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136]"
39,40,3296.46,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308]"
40,41,3297.529,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308, 2678]"
41,42,3303.268,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308, 2678, 2732]"
42,43,3300.564,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308, 2678, 2732, 3083]"
43,44,3303.002,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308, 2678, 2732, 3083, 508]"
44,45,3303.24,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308, 2678, 2732, 3083, 508, 3223]"
45,46,3303.145,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308, 2678, 2732, 3083, 508, 3223, 258]"
46,47,3304.636,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308, 2678, 2732, 3083, 508, 3223, 258, 192]"
47,48,3305.347,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308, 2678, 2732, 3083, 508, 3223, 258, 192, 3178]"
48,49,3308.182,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308, 2678, 2732, 3083, 508, 3223, 258, 192, 3178, 2774]"
49,50,3309.163,"[107, 1912, 3437, 2951, 56, 2839, 412, 3429, 686, 3980, 654, 396, 312, 457, 3396, 583, 2865, 3309, 2904, 630, 2861, 89, 184, 3255, 465, 2764, 3405, 2962, 444, 3090, 175, 198, 889, 4, 3105, 8, 310, 514, 3136, 308, 2678, 2732, 3083, 508, 3223, 258, 192, 3178, 2774, 165]"
