,k,average cover size,S
0,1,909.667,[1143]
1,2,907.45,"[1143, 10677]"
2,3,911.836,"[1143, 10677, 636]"
3,4,913.395,"[1143, 10677, 636, 6724]"
4,5,911.673,"[1143, 10677, 636, 6724, 516]"
5,6,915.195,"[1143, 10677, 636, 6724, 516, 7585]"
6,7,917.552,"[1143, 10677, 636, 6724, 516, 7585, 354]"
7,8,919.111,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572]"
8,9,920.794,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486]"
9,10,922.651,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324]"
10,11,924.172,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369]"
11,12,925.951,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639]"
12,13,928.759,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848]"
13,14,929.442,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022]"
14,15,930.115,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933]"
15,16,930.313,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510]"
16,17,931.094,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324]"
17,18,932.593,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179]"
18,19,940.67,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376]"
19,20,943.337,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845]"
20,21,946.666,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156]"
21,22,946.894,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467]"
22,23,953.689,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162]"
23,24,954.086,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234]"
24,25,956.293,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258]"
25,26,958.849,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867]"
26,27,979.536,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795]"
27,28,980.19,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155]"
28,29,994.239,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705]"
29,30,999.402,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114]"
30,31,1004.155,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382]"
31,32,1007.761,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545]"
32,33,1009.538,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526]"
33,34,1012.333,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598]"
