,k,average cover size,S
0,1,1068.444,[1143]
1,2,1070.553,"[1143, 10677]"
2,3,1070.62,"[1143, 10677, 636]"
3,4,1071.485,"[1143, 10677, 636, 5848]"
4,5,1069.229,"[1143, 10677, 636, 5848, 7155]"
5,6,1069.873,"[1143, 10677, 636, 5848, 7155, 6486]"
6,7,1077.852,"[1143, 10677, 636, 5848, 7155, 6486, 6467]"
7,8,1075.0,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234]"
8,9,1081.291,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577]"
9,10,1084.055,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639]"
10,11,1085.61,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510]"
11,12,1091.149,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324]"
12,13,1095.99,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369]"
13,14,1094.413,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572]"
14,15,1099.22,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585]"
15,16,1100.837,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179]"
16,17,1107.541,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162]"
17,18,1108.882,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324]"
18,19,1111.927,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114]"
19,20,1120.347,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376]"
20,21,1124.878,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382]"
21,22,1129.073,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795]"
22,23,1148.694,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338]"
23,24,1146.711,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845]"
24,25,1151.196,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867]"
25,26,1176.113,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531]"
26,27,1195.153,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795]"
27,28,1193.3,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180]"
28,29,1197.979,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156]"
29,30,1203.5,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617]"
30,31,1201.619,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299]"
31,32,1208.68,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545]"
32,33,1208.375,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891]"
33,34,1209.894,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683]"
