,k,average cover size,S
0,1,351.684,[40]
1,2,378.107,"[40, 104]"
2,3,377.399,"[40, 104, 232]"
3,4,378.936,"[40, 104, 232, 23]"
4,5,377.638,"[40, 104, 232, 23, 298]"
5,6,382.332,"[40, 104, 232, 23, 298, 563]"
6,7,383.533,"[40, 104, 232, 23, 298, 563, 627]"
7,8,383.572,"[40, 104, 232, 23, 298, 563, 627, 71]"
8,9,385.175,"[40, 104, 232, 23, 298, 563, 627, 71, 326]"
9,10,384.648,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380]"
10,11,383.874,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6]"
11,12,385.297,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112]"
12,13,387.626,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587]"
13,14,388.143,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597]"
14,15,389.644,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236]"
15,16,391.935,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414]"
16,17,391.77,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214]"
17,18,394.77,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488]"
18,19,393.853,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22]"
19,20,396.71,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184]"
20,21,396.521,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605]"
21,22,397.889,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629]"
22,23,398.919,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307]"
23,24,400.061,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822]"
24,25,402.78,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312]"
25,26,403.809,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527]"
26,27,404.629,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147]"
27,28,406.37,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426]"
28,29,407.163,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774]"
29,30,408.601,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125]"
30,31,408.199,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723]"
31,32,408.53,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542]"
32,33,412.726,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846]"
33,34,413.925,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560]"
34,35,416.358,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311]"
