,k,average cover size,S
0,1,988.246,[1143]
1,2,987.469,"[1143, 10677]"
2,3,989.084,"[1143, 10677, 7155]"
3,4,991.669,"[1143, 10677, 7155, 5848]"
4,5,994.716,"[1143, 10677, 7155, 5848, 7324]"
5,6,995.524,"[1143, 10677, 7155, 5848, 7324, 6486]"
6,7,995.972,"[1143, 10677, 7155, 5848, 7324, 6486, 7105]"
7,8,998.192,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523]"
8,9,999.109,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510]"
9,10,1000.529,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516]"
10,11,1000.756,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369]"
11,12,1002.68,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524]"
12,13,1003.401,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572]"
13,14,1002.631,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636]"
14,15,1008.296,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585]"
15,16,1006.578,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051]"
16,17,1014.82,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198]"
17,18,1015.908,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116]"
18,19,1015.63,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354]"
19,20,1020.192,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990]"
20,21,1025.958,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376]"
21,22,1035.56,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436]"
22,23,1030.75,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179]"
23,24,1034.325,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668]"
24,25,1055.757,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531]"
