,k,average cover size,S
0,1,421.763,[104]
1,2,422.831,"[104, 10]"
2,3,423.557,"[104, 10, 298]"
3,4,422.031,"[104, 10, 298, 23]"
4,5,423.542,"[104, 10, 298, 23, 71]"
5,6,421.897,"[104, 10, 298, 23, 71, 40]"
6,7,423.961,"[104, 10, 298, 23, 71, 40, 587]"
7,8,426.876,"[104, 10, 298, 23, 71, 40, 587, 563]"
8,9,428.343,"[104, 10, 298, 23, 71, 40, 587, 563, 22]"
9,10,428.147,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184]"
10,11,429.106,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634]"
11,12,429.622,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232]"
12,13,429.714,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723]"
13,14,429.957,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542]"
14,15,432.203,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846]"
15,16,435.454,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633]"
16,17,435.862,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30]"
17,18,437.685,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313]"
18,19,437.817,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527]"
19,20,437.9,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126]"
20,21,440.431,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390]"
21,22,446.758,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066]"
22,23,447.71,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488]"
23,24,449.402,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312]"
24,25,450.88,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188]"
25,26,449.714,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321]"
26,27,451.609,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414]"
