,k,average cover size,S
0,1,170.109,[51]
1,2,271.299,"[51, 104]"
2,3,273.568,"[51, 104, 71]"
3,4,277.249,"[51, 104, 71, 23]"
4,5,278.616,"[51, 104, 71, 23, 40]"
5,6,281.724,"[51, 104, 71, 23, 40, 380]"
6,7,282.994,"[51, 104, 71, 23, 40, 380, 22]"
7,8,290.907,"[51, 104, 71, 23, 40, 380, 22, 563]"
8,9,289.8,"[51, 104, 71, 23, 40, 380, 22, 563, 184]"
9,10,292.524,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30]"
10,11,292.964,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634]"
11,12,293.295,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106]"
12,13,294.085,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214]"
13,14,296.001,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232]"
14,15,296.821,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542]"
15,16,297.85,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346]"
16,17,298.751,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312]"
17,18,302.176,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112]"
18,19,303.513,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597]"
19,20,307.743,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846]"
20,21,308.975,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6]"
21,22,309.874,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248]"
22,23,312.259,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414]"
23,24,314.637,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124]"
