,k,average cover size,S
0,1,1151.911,[1143]
1,2,1152.114,"[1143, 10677]"
2,3,1152.636,"[1143, 10677, 7155]"
3,4,1154.663,"[1143, 10677, 7155, 6891]"
4,5,1152.956,"[1143, 10677, 7155, 6891, 6486]"
5,6,1156.485,"[1143, 10677, 7155, 6891, 6486, 6639]"
6,7,1157.927,"[1143, 10677, 7155, 6891, 6486, 6639, 3091]"
7,8,1158.403,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775]"
8,9,1158.584,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537]"
9,10,1160.41,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324]"
10,11,1169.878,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369]"
11,12,1176.118,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156]"
12,13,1179.693,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354]"
13,14,1176.613,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051]"
14,15,1178.632,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845]"
15,16,1187.379,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376]"
16,17,1185.861,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179]"
17,18,1188.393,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022]"
18,19,1188.044,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523]"
19,20,1194.22,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867]"
20,21,1199.115,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467]"
21,22,1197.325,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258]"
22,23,1220.976,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705]"
23,24,1221.386,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403]"
24,25,1222.938,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114]"
25,26,1225.843,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324]"
26,27,1231.545,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140]"
27,28,1232.236,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795]"
28,29,1229.909,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569]"
29,30,1253.674,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531]"
30,31,1277.481,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338]"
31,32,1278.273,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382]"
32,33,1281.816,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617]"
33,34,1294.782,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083]"
