,NI,u
748,80.7410945471806,2294
749,80.73189138332748,389
750,80.73189138332748,7780
751,80.5645896269565,5003
752,80.55018915322313,5662
753,80.55018915322313,749
754,80.26832929673651,1465
755,80.17551962531618,6917
756,80.17551962531618,4047
757,80.14337057978865,5124
758,80.13575397832832,2682
759,80.13451906641319,370
760,79.57026696722814,2600
761,79.55479440945075,1988
762,79.43727541730962,1063
763,79.43727541730962,1411
764,79.4372754173096,585
765,79.19776412371633,11240
766,78.99295232035173,2005
767,78.98283060416786,3198
768,78.97969384624211,2573
769,78.90641170390059,3760
770,78.87228061393844,83
771,78.87228061393844,3319
772,78.83918042769798,1754
773,78.82672839937035,2177
774,78.73132502133662,1208
775,78.72970187213014,1238
776,78.72862224954618,5454
777,78.65452048249199,4907
778,78.63153040016743,6024
779,78.37214643484607,7779
780,78.16695040561629,4302
781,78.10691099567744,6334
782,78.10691099567742,9859
783,77.45677253355464,807
784,77.44175370212277,444
785,77.40151159391665,1880
786,77.39488137502336,232
787,77.18573710806736,9001
788,77.16361826300547,595
789,77.14835008403062,1657
790,77.08616733502414,9908
791,77.04909149367045,1700
792,77.01802892938682,189
793,76.93197191279391,8255
794,76.83007181511933,657
795,76.79235570438739,71
796,76.74230033920665,6691
797,76.69390302180047,4141
798,76.64062108074178,706
799,76.58849672697812,5106
800,76.58849672697812,376
801,76.58849672697812,377
802,76.54409352834548,5539
803,76.54409352834548,2799
804,76.36791727167952,7070
805,76.19388214236866,218
806,76.14649498063724,9370
807,76.02630062666172,2805
808,75.93789027849282,3138
809,75.82972002101098,1665
810,75.82972002101097,4975
811,75.6424144255606,10106
812,75.6424144255606,10105
813,75.6198687963377,2087
814,75.590000289921,7940
815,75.58718579083727,524
816,75.45632787145904,1851
817,75.45632787145902,160
818,75.40922731590342,3027
819,75.37889565153456,11120
820,75.35925708609466,403
821,75.35925708609464,2178
822,75.13945943279063,7956
823,74.84465219062257,4309
824,74.75688995412364,273
825,74.62646506229132,1783
826,74.61360147058448,2708
827,74.56510655468624,241
828,74.46521468290791,8210
829,74.42451725191616,2331
830,74.33797030974775,8856
831,74.33787028897467,871
832,74.30090847358463,2280
833,74.29779039570055,1035
834,74.28231873796526,6482
835,74.14754443636593,171
836,74.14754443636593,1736
837,73.97650688074614,2362
838,73.69291696935258,1724
839,73.56560959200142,54
840,73.54244736360162,1841
841,73.46239040291627,6690
842,73.43696906536069,7226
843,73.25527511885366,8267
844,73.10661757733871,4958
845,73.10661757733871,436
846,72.71509751720477,9002
847,72.64526472199519,3354
848,72.63763851272417,844
849,72.61226184869498,3777
850,72.56070972325281,1390
851,72.43286006787629,5231
852,72.15434844830907,1746
853,72.0172116571436,516
854,71.8827043440687,3041
855,71.87218214102678,439
856,71.82515407023364,861
857,71.71349947910701,237
858,71.70764054789696,3482
859,71.58457104413768,5879
860,71.55234659684585,2800
861,71.44179850118039,1676
862,71.27055898665128,3215
863,71.27055898665127,1877
864,71.16220121594687,5600
865,71.11619110451103,7054
866,71.02330211369505,1472
867,70.95818546127545,1179
868,70.92915914335302,8745
869,70.8816778680113,7254
870,70.8816778680113,7252
871,70.82245589415867,114
872,70.65095276500861,7368
873,70.41005514522213,2725
874,70.36740521650167,272
875,70.2563284113891,4519
876,70.18898614724742,3488
877,70.18712138139259,8387
878,70.07640892273511,7104
879,70.05058007511236,235
880,69.99613128602918,4264
881,69.99295760358454,2364
882,69.84184079044766,1037
883,69.80499701800893,1743
884,69.6965309045031,6071
885,69.48959493136053,331
886,69.45012523344681,6455
887,69.30305447968765,5004
888,69.15196647245692,2645
889,69.01412363259575,564
890,68.9000410383641,2061
891,68.85829721827578,3506
892,68.48820454728325,718
893,68.468877345526,1027
894,68.34767491739957,30
895,68.34767491739956,10173
896,68.26186627018265,758
897,68.13874492915912,12186
898,68.10261917605997,420
899,68.03974453596986,8987
900,67.98766515570841,4272
901,67.83112048481443,3978
902,67.77737785737793,502
903,67.66008672945752,63
904,67.62035975215663,1953
905,67.57520878800038,5540
906,67.55543153101539,8874
907,67.54628043053148,1464
908,67.54628043053148,987
909,67.48297712134125,1498
910,67.4785445866164,11138
911,67.47843688386244,357
912,67.44709675645692,3670
913,67.26783636773824,1435
914,67.26783636773824,5866
915,67.26783636773824,1634
916,67.20902501875005,570
917,67.08479010184351,5117
918,67.0847901018435,8376
919,67.02473066711346,1672
920,66.91157630193072,2932
921,66.85067341036164,2739
922,66.75822420693402,4788
923,66.71454371461772,299
924,66.64156823397,2518
925,66.58831887010638,5095
926,66.35788533730565,158
927,66.27153435766554,2796
928,66.21389124907435,6095
929,66.21389124907434,9345
930,66.0643731088775,770
931,66.05726682205372,2834
932,66.04560850681948,1277
933,65.87239530855776,2529
934,65.78213810430388,6638
935,65.73598082704885,6807
936,65.70755115083621,3148
937,65.61861116165558,2689
938,65.57166124296809,582
939,65.50489779280046,772
940,65.46828958979191,1445
941,65.33605551345589,518
942,65.08536802778137,254
943,64.95906529114357,509
944,64.91641981957717,488
945,64.70508921032084,1345
946,64.40897437264141,667
947,64.36717745694963,6876
948,64.3487912782413,2977
949,64.3487912782413,3197
950,64.25522253681882,1524
951,64.17368818894421,290
952,64.05955749598814,1023
953,63.980252317594356,4285
954,63.980252317594356,275
955,63.980252317594356,6693
956,63.98025231759434,94
957,63.946448823746316,2215
958,63.93712474647995,1297
959,63.85642864183612,386
960,63.854105796109145,9220
961,63.77881319352964,4039
962,63.74032132839535,1067
963,63.69613093030228,8529
964,63.49546107419438,4471
965,63.30975438271736,3282
966,63.27435990725229,4284
967,63.09862077478127,3948
968,63.09142856430711,4470
969,63.01903228401332,3070
970,62.94025738225996,4576
971,62.899021217035745,204
972,62.85821922475065,3128
973,62.83917283484893,687
974,62.74527441396608,293
975,62.74527441396608,1215
976,62.74527441396608,1641
977,62.7350424947166,1166
978,62.66235430448664,2013
979,62.64585235008182,4307
980,62.64585235008182,1351
981,62.64585235008182,735
982,62.63150352602483,2541
983,62.63150352602483,3073
984,62.516561380873,10071
985,62.4184150848032,2015
986,62.38535853276868,1671
987,62.13584602945997,4228
988,62.03224967708329,2293
989,61.99325166996329,3524
990,61.971902021665066,558
991,61.87691606655662,1338
992,61.826361324938055,8864
993,61.77632593456128,654
994,61.62418458748057,2801
995,61.56769772781591,492
996,61.55969474775088,8024
997,61.51771023529184,167
998,61.46874344665684,3160
999,61.43002031521644,2786
1000,61.43002031521644,7112
1001,61.41300156264183,5553
1002,61.353656404296125,3194
1003,60.79626558771344,9746
1004,60.74929788664865,7019
1005,60.66957133718794,1768
1006,60.62163712315778,1361
1007,60.61536410037908,747
1008,60.578791661821136,459
1009,60.57188667064143,29
1010,60.56246775024941,286
1011,60.56246775024941,806
1012,60.53291694048523,531
1013,60.51660839702568,277
1014,60.4756856202966,554
1015,60.456574574616695,2153
1016,60.4147664291525,5661
1017,60.404323644990434,4912
1018,60.13032863447444,2333
1019,60.13032863447444,4999
1020,60.05206074732157,1192
1021,59.948108065458165,2133
1022,59.94424816913226,5801
1023,59.944248169132244,578
1024,59.9424781540736,5287
1025,59.82007775840714,5997
1026,59.82007775840714,3431
1027,59.803622126633414,1241
1028,59.7897374246667,723
1029,59.7410890651269,325
1030,59.7410890651269,3632
1031,59.701512322130995,7109
1032,59.4320472283422,6674
1033,59.42094993327051,2374
1034,59.23131249445774,2141
1035,59.2129570461214,10311
1036,59.0277021535089,2617
1037,58.9087543719884,5033
1038,58.90152180072125,8297
1039,58.90152180072125,722
1040,58.8430114796991,1245
1041,58.71325233222799,6683
1042,58.63608288903351,6011
1043,58.585642911307026,8501
1044,58.585642911307026,1154
1045,58.585642911307026,413
1046,58.51156450197285,285
1047,58.45052895416324,7758
1048,58.3523454164177,1378
1049,58.241281248546414,2076
1050,58.17706780992857,771
1051,58.17529717289676,13329
1052,58.17529717289676,13328
1053,58.05252702849985,936
1054,58.052527028499846,8605
1055,58.04467263552368,11239
1056,57.96437334915953,8887
1057,57.95774942001322,5599
1058,57.95774942001322,5601
1059,57.81543911447876,12434
1060,57.813041814937975,2602
1061,57.78759067712121,2237
1062,57.75189759385799,8395
1063,57.66721340156175,1610
1064,57.58083774280016,2571
1065,57.55044450136988,1757
1066,57.49769801123357,2745
1067,57.47261145102513,3753
1068,57.440351285370944,982
1069,57.23416871881963,6174
1070,57.22526110689071,751
1071,57.225261106890706,11342
1072,57.21465599936514,1178
1073,57.16839026604336,271
1074,57.143208723289156,3479
1075,57.0051604640687,2505
1076,56.9781081027425,1314
1077,56.978108102742496,8008
1078,56.911423718377904,5314
1079,56.82252479668202,3533
1080,56.68623951601448,3254
1081,56.533825460343415,1640
1082,56.52714032403641,6182
1083,56.49813973939222,4520
1084,56.4949488545103,948
1085,56.398198333642036,269
1086,56.34047706537946,3847
1087,56.33574376940603,8893
1088,56.335743769406015,3140
1089,56.335743769406015,7621
1090,56.32126328121382,6483
1091,56.317064996245634,1522
1092,56.28135912213995,2633
1093,56.2172385040285,872
1094,56.113985202784235,2302
1095,56.08805489580599,10738
1096,56.083870285609805,1854
1097,56.05146814957522,10197
1098,55.99756938720192,1300
1099,55.997569387201914,2785
1100,55.89815876572581,738
1101,55.84512462401407,7159
1102,55.77462680203541,4150
1103,55.68325601112061,5239
