,S,average cover size,k
0,[104],261.598,1
1,"[104, 40]",269.284,2
2,"[104, 40, 380]",273.835,3
3,"[104, 40, 380, 130]",278.637,4
4,"[104, 40, 380, 130, 232]",278.172,5
5,"[104, 40, 380, 130, 232, 22]",280.991,6
6,"[104, 40, 380, 130, 232, 22, 313]",281.011,7
7,"[104, 40, 380, 130, 232, 22, 313, 71]",283.326,8
8,"[104, 40, 380, 130, 232, 22, 313, 71, 414]",288.446,9
9,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563]",294.889,10
10,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23]",296.657,11
11,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184]",296.761,12
12,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428]",299.415,13
13,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611]",301.564,14
14,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326]",302.069,15
15,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432]",302.744,16
16,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218]",304.124,17
17,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340]",304.498,18
18,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756]",308.309,19
19,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494]",310.515,20
20,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236]",312.224,21
21,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188]",313.961,22
22,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6]",314.52,23
23,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587]",320.848,24
24,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321]",319.409,25
25,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417]",322.16,26
