,S,average cover size,k
0,[104],376.555,1
1,"[104, 428]",377.095,2
2,"[104, 428, 587]",379.985,3
3,"[104, 428, 587, 72]",382.063,4
4,"[104, 428, 587, 72, 426]",382.207,5
5,"[104, 428, 587, 72, 426, 563]",387.388,6
6,"[104, 428, 587, 72, 426, 563, 184]",386.584,7
7,"[104, 428, 587, 72, 426, 563, 184, 504]",388.271,8
8,"[104, 428, 587, 72, 426, 563, 184, 504, 83]",388.175,9
9,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218]",387.716,10
10,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326]",388.463,11
11,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6]",388.533,12
12,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23]",389.694,13
13,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411]",389.09,14
14,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313]",392.432,15
15,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40]",391.402,16
16,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633]",394.014,17
17,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141]",394.903,18
18,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130]",396.073,19
19,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433]",395.707,20
20,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230]",396.852,21
21,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164]",400.232,22
22,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232]",398.193,23
23,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585]",400.921,24
24,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380]",399.923,25
25,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22]",401.281,26
26,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679]",401.013,27
27,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307]",404.125,28
28,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629]",403.823,29
29,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611]",407.044,30
30,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396]",406.917,31
31,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605]",410.055,32
32,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966]",410.399,33
33,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966, 969]",411.945,34
34,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966, 969, 970]",412.908,35
35,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966, 969, 970, 71]",412.871,36
36,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966, 969, 970, 71, 597]",414.423,37
37,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966, 969, 970, 71, 597, 236]",415.936,38
38,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966, 969, 970, 71, 597, 236, 692]",418.018,39
39,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966, 969, 970, 71, 597, 236, 692, 51]",415.894,40
40,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966, 969, 970, 71, 597, 236, 692, 51, 764]",420.359,41
41,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966, 969, 970, 71, 597, 236, 692, 51, 764, 1004]",424.821,42
42,"[104, 428, 587, 72, 426, 563, 184, 504, 83, 218, 326, 6, 23, 411, 313, 40, 633, 141, 130, 433, 230, 164, 232, 585, 380, 22, 679, 307, 629, 611, 396, 605, 966, 969, 970, 71, 597, 236, 692, 51, 764, 1004, 500]",426.588,43
