,S,average cover size,k
0,[104],423.375,1
1,"[104, 26]",422.679,2
2,"[104, 26, 563]",425.044,3
3,"[104, 26, 563, 433]",426.043,4
4,"[104, 26, 563, 433, 64]",426.782,5
5,"[104, 26, 563, 433, 64, 340]",425.229,6
6,"[104, 26, 563, 433, 64, 340, 141]",425.787,7
7,"[104, 26, 563, 433, 64, 340, 141, 40]",427.915,8
8,"[104, 26, 563, 433, 64, 340, 141, 40, 188]",426.621,9
9,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23]",427.79,10
10,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22]",427.887,11
11,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236]",429.677,12
12,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313]",430.761,13
13,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748]",430.927,14
14,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218]",432.928,15
15,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899]",433.109,16
16,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164]",434.857,17
17,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611]",436.507,18
18,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232]",438.037,19
19,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248]",438.285,20
20,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597]",440.447,21
21,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74]",441.065,22
22,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756]",443.353,23
23,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307]",444.161,24
24,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6]",443.319,25
25,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184]",444.791,26
26,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514]",444.476,27
27,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51]",446.078,28
28,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326]",446.97,29
29,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593]",446.183,30
30,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587]",446.692,31
31,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157]",448.025,32
32,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30]",450.018,33
33,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112]",449.433,34
34,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440]",450.873,35
35,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603]",451.217,36
36,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426]",452.771,37
