,S,average cover size,k
0,[40],454.33,1
1,"[40, 104]",464.33,2
2,"[40, 104, 433]",463.0,3
3,"[40, 104, 433, 23]",463.675,4
4,"[40, 104, 433, 23, 71]",463.54,5
5,"[40, 104, 433, 23, 71, 563]",465.375,6
6,"[40, 104, 433, 23, 71, 563, 141]",466.93,7
7,"[40, 104, 433, 23, 71, 563, 141, 218]",466.338,8
8,"[40, 104, 433, 23, 71, 563, 141, 218, 587]",466.952,9
9,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494]",468.02,10
10,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30]",467.147,11
11,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611]",469.52,12
12,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500]",473.257,13
13,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307]",473.133,14
14,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232]",473.948,15
15,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756]",475.767,16
16,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188]",474.747,17
17,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321]",476.703,18
18,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100]",476.67,19
19,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837]",478.661,20
20,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428]",479.016,21
21,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198]",478.222,22
22,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552]",480.48,23
23,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51]",480.002,24
24,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554]",483.137,25
25,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528]",484.205,26
26,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236]",485.243,27
27,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658]",484.871,28
28,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26]",485.849,29
29,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808]",487.318,30
30,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656]",488.682,31
31,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380]",488.208,32
32,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313]",490.008,33
33,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004]",493.324,34
34,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66]",493.876,35
35,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22]",494.791,36
36,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164]",494.647,37
